YEAR,1_SELF_EMPLOY,2_NUM_OF_EMPLOYEES,3_TECH_ORG,4_MH_BEN_PROVIDED,5_AWARE_OF_MH_BENEFITS,6_EMPLOY_FORMALLY_DISCUSS_MH,7_EMPLOY_OFFER_RESOURCES,8_ANONIMITY_PROTECT,9_COMFORT_DISCUSS_SUPERVISOR,10_EVER_DISUSS_MH_w_EMPLOY,11_IMPORTANCE_EMPLOY_PHYS_HEALTH,12_IMPORTANCE_EMPLOY_MENTAL_HEALTH,13_IF_DIAGNOSED_MH_REVEAL_COWORK_EMPLOYEES,14_IF_REVEAL_DISORDER_HOW_IMPACT_RELATIONSHIP,15_CURRENT_MH_DISORDER,16_DIAGNOSED_MH_DISORDER,17_DISORDER_INTERFERE_WITH_WORK_WHEN_TREATED,18_DISORDER_INTERFERE_WITH_WORK_WHEN_NOT_TREATED,19_TECH_SUPPORT_EMPLOYEE_w_MH_DISORDER,20_AGE,21_GENDER,22_COUNTRY,23_STATE,24_RACE,25_COUNTRY_2
2017,0,100-500,1,No,Yes,No,I don't know,I don't know,Yes,0,6,0,,,Possibly,,Sometimes,Sometimes,1,27,Female,United Kingdom,,,United Kingdom
2017,0,100-500,1,Yes,Yes,No,No,I don't know,Maybe,0,7,2,,,Possibly,,Not applicable to me,Sometimes,2,31,male,United Kingdom,,,United Kingdom
2017,0,25-Jun,1,I don't know,No,I don't know,No,Yes,Yes,1,0,1,,,Yes,Yes,Sometimes,Sometimes,1,36,male,United States of America,Missouri,White,United States of America
2017,0,More than 1000,1,Yes,Yes,I don't know,I don't know,Yes,Yes,1,7,5,,,Yes,Yes,Sometimes,Often,2,22,Male,United States of America,Washington,White,United States of America
2017,1,,,,,,,,,,,,"No, because it doesn't matter",No change,No,,Often,Sometimes,1,52,female,United States of America,Illinois,More than one of the above,United States of America
2017,0,100-500,1,Yes,No,No,I don't know,Yes,Maybe,0,9,5,,,No,,Rarely,Not applicable to me,2,30,male,United States of America,California,White,United States of America
2017,0,44372,1,Yes,Yes,No,No,Yes,Yes,0,10,10,,,Yes,Yes,Rarely,Often,2,36,F,United States of America,Washington,Asian,United States of America
2017,0,26-100,1,Yes,No,No,No,I don't know,Yes,0,10,8,,,No,,Not applicable to me,Not applicable to me,2,38,Female,United States of America,Georgia,White,United States of America
2017,0,100-500,0,I don't know,No,No,No,Yes,Maybe,0,9,7,,,Don't Know,,Not applicable to me,Not applicable to me,2,35,Male,Switzerland,,,Switzerland
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",No change,Possibly,,Often,Sometimes,3,36,male,India,,,India
2017,0,100-500,0,Yes,Yes,No,No,I don't know,No,1,1,0,,,Yes,Yes,Often,Sometimes,1,40,M,United States of America,Pennsylvania,White,United States of America
2017,0,100-500,1,I don't know,No,No,I don't know,I don't know,Maybe,0,5,3,,,Yes,Yes,Sometimes,Often,1,35,Male,United States of America,Tennessee,White,United States of America
2017,0,More than 1000,1,No,No,No,No,I don't know,Maybe,1,7,7,,,No,,Sometimes,Not applicable to me,4,23,Male,Russia,,,Russia
2017,0,More than 1000,1,I don't know,No,No,I don't know,I don't know,Maybe,0,3,2,,,Yes,No,Sometimes,Often,3,22,Female,United States of America,Louisiana,White,United States of America
2017,0,26-100,1,I don't know,N/A,I don't know,I don't know,Yes,Maybe,1,5,5,,,Yes,Yes,Sometimes,Sometimes,3,34,female,United States of America,California,Black or African American,United States of America
2017,0,100-500,0,Yes,No,No,I don't know,I don't know,Yes,0,8,3,,,Yes,Yes,Rarely,Often,4,28,Male,United States of America,Ohio,White,United States of America
2017,0,26-100,0,No,No,No,No,Yes,Yes,0,9,9,,,Possibly,,Never,Sometimes,5,38,male,Bangladesh,,,Bangladesh
2017,1,,,,,,,,,,,,Not applicable to me,Not applicable to me,No,,Not applicable to me,Not applicable to me,2,53,Male,United States of America,Illinois,White,United States of America
2017,0,25-Jun,1,I don't know,No,No,No,I don't know,Maybe,0,4,3,,,Possibly,,Rarely,Sometimes,3,21,Male,Germany,,,Germany
2017,0,More than 1000,0,I don't know,No,No,I don't know,I don't know,Maybe,0,4,3,,,Don't Know,,Not applicable to me,Not applicable to me,3,35,F,United Kingdom,,,United Kingdom
2017,0,25-Jun,1,No,No,No,No,I don't know,No,0,2,2,,,Possibly,,Sometimes,Sometimes,2,22,Male,United Kingdom,,,United Kingdom
2017,0,100-500,0,Not eligible for coverage / NA,N/A,Yes,Yes,Yes,Yes,0,7,7,,,Possibly,,Never,Sometimes,3,18,Male,United Kingdom,,,United Kingdom
2017,0,26-100,0,I don't know,No,No,No,I don't know,Yes,1,8,2,,,Yes,Yes,Sometimes,Often,1,37,female,United States of America,Ohio,White,United States of America
2017,0,5-Jan,1,No,N/A,No,No,I don't know,Maybe,1,6,7,,,Yes,Yes,Sometimes,Often,3,25,Male,United Kingdom,,,United Kingdom
2017,0,100-500,1,No,No,Yes,No,I don't know,No,0,10,5,,,Don't Know,,Not applicable to me,Not applicable to me,3,40,male,Canada,,,Canada
2017,0,25-Jun,1,No,No,No,No,Yes,Yes,0,7,0,,,Don't Know,,Not applicable to me,Not applicable to me,2,33,Male,Israel,,,Israel
2017,0,More than 1000,0,Yes,No,No,I don't know,I don't know,No,0,5,5,,,Yes,Yes,Sometimes,Often,2,66,F,United States of America,Oregon,White,United States of America
2017,0,100-500,0,Yes,Yes,No,No,I don't know,Maybe,0,5,2,,,Yes,Yes,Rarely,Often,3,31,female,United States of America,Ohio,White,United States of America
2017,0,100-500,0,Yes,Yes,Yes,Yes,Yes,Maybe,0,7,6,,,Yes,Yes,Rarely,Sometimes,4,32,Male,Canada,,,Canada
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",No change,Yes,Yes,Rarely,Sometimes,3,46,M,United States of America,New York,White,United States of America
2017,0,100-500,1,Yes,Yes,I don't know,No,I don't know,No,0,5,5,,,Yes,Yes,Rarely,Sometimes,3,30,female,United States of America,California,White,United States of America
2017,0,100-500,1,Yes,Yes,No,No,Yes,Maybe,1,5,5,,,Yes,Yes,Rarely,Often,4,31,Man,United States of America,Pennsylvania,Black or African American,United States of America
2017,0,100-500,1,Not eligible for coverage / NA,N/A,No,No,I don't know,Maybe,1,5,2,,,Yes,Yes,Sometimes,Often,2,46,Male,Iceland,,,Iceland
